iter	RMSE
0	0.1278923258
1	0.1267230968
2	0.1254415219
3	0.124309332
4	0.1228245488
5	0.1217089328
6	0.1203130566
7	0.1186722718
8	0.117699939
9	0.1164955698
10	0.1154971333
11	0.1145497741
12	0.1133712399
13	0.1120790214
14	0.1110782045
15	0.1101907226
16	0.1088930592
17	0.1078882132
18	0.1066967353
19	0.1056481683
20	0.1046861469
21	0.1035474008
22	0.1024905725
23	0.101512051
24	0.1004848528
25	0.09947466984
26	0.09866837944
27	0.09767152594
28	0.09655780797
29	0.0955058111
30	0.09466368493
31	0.09383351501
32	0.09285957188
33	0.09177774383
34	0.09090734596
35	0.08989868747
36	0.08912659369
37	0.08827295948
38	0.08750249894
39	0.08648641734
40	0.08583287773
41	0.08514476811
42	0.08432128876
43	0.08376948746
44	0.0829246161
45	0.08208134987
46	0.08122630562
47	0.08044650754
48	0.07974458594
49	0.07894270847
50	0.07825349713
51	0.07747422762
52	0.0767479609
53	0.07607282109
54	0.07533925448
55	0.07456230112
56	0.07402223413
57	0.07345072045
58	0.07279814171
59	0.07216617668
60	0.0715652369
61	0.07087983226
62	0.07031808994
63	0.06975224574
64	0.06922516602
65	0.06872270496
66	0.06817670297
67	0.06768413997
68	0.06709232556
69	0.06653191406
70	0.06590964949
71	0.06549017262
72	0.06489664673
73	0.0642955094
74	0.06377068521
75	0.06321291437
76	0.06266052976
77	0.06229296232
78	0.06169988839
79	0.06112564365
80	0.06062062189
81	0.06017203319
82	0.05969052661
83	0.05918850715
84	0.05873721649
85	0.05821378064
86	0.05774985089
87	0.05738429082
88	0.05694326413
89	0.05658447802
90	0.05630445546
91	0.05589279639
92	0.05544196906
93	0.05501380037
94	0.05462571663
95	0.05429081959
96	0.05385875191
97	0.05343931549
98	0.05300423527
99	0.05256729825
100	0.05209987562
101	0.05176870414
102	0.05135558413
103	0.05089694753
104	0.05053089319
105	0.05022591881
106	0.04981300243
107	0.04944763958
108	0.04909170004
109	0.04875136702
110	0.04833413993
111	0.047992814
112	0.04759681731
113	0.04718407226
114	0.04680510518
115	0.04643289905
116	0.04605508398
117	0.04572523429
118	0.04538123339
119	0.04505135593
120	0.04470445224
121	0.04436698105
122	0.04399006328
123	0.04363076891
124	0.04334455915
125	0.04303059845
126	0.04268111223
127	0.04232002612
128	0.0420528876
129	0.04167926625
130	0.04136611246
131	0.04101932209
132	0.04071727769
133	0.0402942901
134	0.03995317587
135	0.03967873145
136	0.03946614093
137	0.03914784531
138	0.0388243127
139	0.03854976883
140	0.03830547285
141	0.03802398946
142	0.03774820588
143	0.03747579941
144	0.03724151288
145	0.03697240722
146	0.03659604547
147	0.03627729669
148	0.03597085622
149	0.03575981372
150	0.03544754907
151	0.03522214713
152	0.03498835424
153	0.03473683449
154	0.03451515002
155	0.03428397627
156	0.03405759029
157	0.03374312239
158	0.03348247216
159	0.03324646865
160	0.03306681588
161	0.03282114891
162	0.03262607002
163	0.03235989749
164	0.03212240597
165	0.03191157543
166	0.03171328071
167	0.03145601161
168	0.03124657051
169	0.03103019115
170	0.03080750712
171	0.03064195134
172	0.03039477832
173	0.03015918841
174	0.02992506568
175	0.02971258005
176	0.02947707716
177	0.02922500248
178	0.02899175411
179	0.02877082748
180	0.02855509438
181	0.02832695857
182	0.02813521878
183	0.02792498575
184	0.02768324022
185	0.02747782604
186	0.0272622777
187	0.02706029066
188	0.02685558606
189	0.02667170009
190	0.02646119145
191	0.02630420118
192	0.02609263401
193	0.02590267187
194	0.02573186174
195	0.02554066367
196	0.02538590673
197	0.02517614279
198	0.02502846782
